right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
73.94,58.62,58.9,111.1,90.3,146.0,140.5,1
81.6,54.62,101.06,150.1,141.8,76.1,130.8,1
59.2,43.6,96.6,169.6,154.0,63.25,133.6,1
61.38,39.72,89.25,168.2,148.5,58.16,134.2,1
57.38,36.7,82.6,169.2,145.4,59.22,132.8,1
71.44,38.16,89.44,161.1,137.0,95.25,134.6,1
55.0,61.62,37.94,119.56,121.6,140.1,137.5,1
38.75,56.34,32.4,126.1,122.9,139.2,136.0,1
33.1,46.5,32.25,125.6,121.7,139.9,138.6,1
33.38,42.53,32.66,127.44,122.0,140.2,137.8,1
34.25,43.97,32.6,124.5,118.5,140.9,137.8,1
35.03,46.88,34.72,127.2,121.3,140.9,138.4,1
68.75,86.2,44.47,110.06,122.0,141.5,139.1,1
58.25,68.1,35.9,89.9,83.94,142.1,134.8,1
40.6,45.06,41.22,131.4,119.6,140.0,132.9,1
37.03,42.94,37.5,129.8,119.06,139.4,135.5,1
28.61,35.16,34.4,125.56,118.7,138.4,133.8,1
26.62,34.9,34.4,124.4,119.8,138.1,134.2,1
26.17,30.47,35.03,127.25,125.6,137.1,130.9,1
32.12,40.5,36.28,124.75,121.06,139.8,134.1,1
53.3,60.88,40.25,108.2,111.9,139.9,135.9,1
70.1,83.94,23.47,65.0,53.4,145.1,138.2,1
64.56,70.6,43.06,114.4,110.8,140.9,136.0,1
37.16,45.5,39.56,126.4,116.0,138.9,134.8,1
31.94,39.0,37.16,126.75,118.9,139.6,135.1,1
33.1,42.34,39.12,129.4,119.44,139.4,136.2,1
35.4,45.28,42.38,131.8,123.0,140.0,135.9,1
30.08,37.75,37.34,130.6,125.0,138.1,132.9,1
30.45,37.56,38.78,130.9,120.8,139.0,135.6,1
30.94,38.28,40.4,129.1,123.2,138.0,135.0,1
69.0,77.5,42.6,92.2,99.94,141.8,137.0,1
83.94,92.56,38.84,89.6,76.1,142.6,136.9,1
38.53,43.12,36.1,123.94,121.9,136.6,131.4,1
37.38,45.44,37.6,124.8,119.0,140.4,134.8,1
36.0,42.5,39.88,131.0,127.5,138.0,133.2,1
32.22,40.8,37.06,127.94,120.8,139.1,134.5,1
34.97,43.94,38.56,127.25,120.44,139.8,136.0,1
35.97,42.22,36.75,122.25,119.9,138.1,133.1,1
61.8,71.94,38.4,72.25,62.5,144.5,138.6,1
72.06,80.1,22.72,68.94,58.4,144.0,137.9,1
39.88,44.84,33.72,121.7,119.1,138.2,133.8,1
42.06,51.53,32.88,122.2,120.56,141.6,137.2,1
45.53,51.66,35.3,131.8,123.75,141.6,137.0,1
46.6,55.5,37.56,133.2,122.44,142.5,137.9,1
39.97,46.06,35.34,133.5,125.94,141.0,135.1,1
39.12,46.44,37.16,135.5,124.3,140.1,134.8,1
33.03,39.3,35.0,127.2,118.4,140.9,137.1,1
78.0,63.62,64.06,128.9,105.25,142.9,140.4,1
61.47,41.56,66.75,150.4,131.6,147.8,141.6,1
59.88,37.6,68.9,151.9,143.6,148.9,139.8,1
59.97,36.2,73.2,153.2,146.2,150.0,138.8,1
33.38,38.47,29.27,111.2,106.75,145.0,139.9,1
50.9,53.75,31.05,121.4,113.8,145.4,140.8,1
50.8,54.5,35.06,117.4,112.56,145.8,142.1,1
47.44,47.6,40.5,111.94,110.6,146.2,141.4,1
45.03,44.12,40.28,117.1,114.94,147.5,141.5,1
58.9,33.78,67.06,150.6,148.0,147.2,137.4,1
50.38,49.72,40.28,118.75,113.8,147.2,142.1,1
47.3,51.28,40.2,116.2,112.25,146.1,142.1,1
48.3,48.75,39.97,120.4,111.44,145.6,140.8,1
41.12,43.38,38.28,112.6,108.3,145.4,141.0,1
64.56,62.88,39.03,124.25,116.94,144.5,142.0,1
54.1,52.62,36.3,122.1,114.94,146.0,141.6,1
55.1,55.88,36.6,119.0,117.06,146.1,141.6,1
65.0,63.53,41.66,123.25,117.9,147.2,143.0,1
85.75,82.0,36.94,75.4,63.75,144.1,141.4,1
61.94,35.3,67.25,153.6,140.9,148.5,134.9,1
77.8,72.44,29.86,62.2,63.5,144.0,140.5,1
49.1,46.66,40.84,114.6,114.7,141.9,138.0,1
39.53,39.88,36.34,121.0,114.75,144.0,139.1,1
61.34,35.56,70.7,156.4,147.6,149.2,136.6,1
67.3,41.72,72.56,157.0,146.1,149.5,138.1,1
78.25,47.3,77.94,139.4,134.1,154.4,144.0,1
76.7,47.66,68.75,132.0,121.2,153.4,145.5,1
95.06,77.94,53.16,80.5,69.2,151.5,152.1,1
97.1,88.8,45.75,76.4,67.2,143.1,149.4,1
88.6,73.5,60.06,113.25,93.25,137.8,139.6,1
75.3,53.62,71.44,132.4,112.06,142.2,137.4,1
73.1,44.6,68.7,138.2,124.06,144.1,134.1,1
68.94,42.03,76.6,139.6,130.4,144.2,133.2,1
71.8,42.62,77.9,139.5,129.8,145.4,132.6,1
69.06,39.7,76.0,138.5,128.8,145.0,132.9,1
68.1,41.4,68.4,144.2,124.4,144.5,135.0,1
85.4,74.44,52.53,86.9,71.4,137.1,145.4,0
82.56,76.56,53.56,76.06,73.0,117.2,142.2,0
79.56,74.94,66.1,77.8,74.3,104.75,139.2,0
71.3,63.9,69.25,83.94,80.0,106.5,137.0,0
73.44,64.5,65.06,92.2,82.5,107.8,137.4,0
67.2,63.72,67.8,86.25,81.94,99.4,136.8,0
67.9,63.44,66.56,80.8,76.3,102.4,136.2,0
70.9,65.6,65.8,95.2,83.2,103.25,136.5,0
70.8,64.6,65.3,92.25,80.25,104.7,135.4,0
77.25,69.56,58.97,82.25,79.0,110.56,139.9,0
84.2,74.44,48.97,83.6,74.6,119.2,142.4,0
69.44,81.3,32.25,70.5,81.6,143.0,110.6,0
61.78,52.84,42.03,86.25,74.4,139.2,50.3,0
61.72,34.97,47.75,71.56,55.44,136.0,46.5,0
61.6,34.44,53.75,71.75,56.28,135.8,46.5,0
62.38,39.97,48.06,71.3,56.9,138.1,48.44,0
62.7,36.1,50.12,68.94,54.6,136.9,48.94,0
64.7,68.1,37.8,87.25,77.9,137.6,69.8,0
56.8,71.44,33.75,92.2,105.2,144.8,112.8,0
65.8,77.2,39.5,100.0,117.94,144.8,101.94,0
64.56,68.44,40.5,90.0,92.56,137.6,50.7,0
67.44,56.22,45.38,100.0,81.56,136.9,50.78,0
70.2,54.06,52.16,94.1,82.1,136.9,53.03,0
60.12,40.84,47.03,98.8,77.44,133.6,55.28,0
58.25,44.22,45.1,100.6,78.3,134.9,53.4,0
59.38,45.16,47.56,97.4,72.56,134.1,53.0,0
65.56,66.75,41.84,101.06,87.3,140.1,64.0,0
68.44,79.8,39.4,102.0,113.25,143.4,96.56,0
73.75,83.75,43.3,96.06,121.7,148.5,116.06,0
78.1,80.4,39.66,98.2,90.0,141.6,67.3,0
71.5,59.62,43.3,104.6,89.6,140.4,53.6,0
83.25,75.75,46.22,93.5,82.94,142.1,72.56,0
82.06,73.3,43.2,98.75,90.1,141.8,62.88,0
76.06,71.5,43.88,105.0,94.2,142.1,71.94,0
79.06,77.4,39.94,102.3,85.0,142.0,72.2,0
80.56,86.56,34.4,95.3,98.5,142.9,93.6,0
75.8,81.7,40.3,103.44,112.9,145.2,114.6,0
69.3,75.06,50.34,92.1,118.8,146.2,105.44,0
76.9,86.2,37.44,79.25,95.25,141.8,89.44,0
71.7,59.72,43.8,101.8,85.7,135.8,49.2,0
65.4,46.66,52.53,96.56,82.44,135.6,51.66,0
72.9,59.22,46.12,95.4,78.44,137.1,50.6,0
71.5,64.1,41.03,98.06,81.1,137.5,50.38,0
69.9,62.84,44.1,103.25,78.4,137.2,51.53,0
70.0,65.0,40.75,103.44,82.9,138.9,54.94,0
81.3,89.06,35.3,88.56,99.7,144.9,90.1,0
67.44,76.7,38.9,99.7,122.5,146.5,109.56,0
76.5,81.0,44.97,102.1,94.94,142.1,77.06,0
62.97,42.1,49.25,91.1,76.3,135.1,52.4,0
64.4,42.3,49.3,84.3,78.6,133.6,52.3,0
65.7,53.75,45.53,99.06,93.7,137.1,54.28,0
68.75,57.06,47.16,92.44,85.94,136.4,57.0,0
66.4,54.53,47.72,91.3,83.56,135.5,52.78,0
69.5,61.47,43.38,103.3,98.0,138.0,54.44,0
76.4,78.0,39.8,87.75,100.6,139.9,69.4,0
75.75,81.1,41.4,102.2,123.8,145.0,102.94,0
56.66,64.7,42.94,80.56,112.5,148.0,106.8,0
72.44,81.75,39.16,79.3,102.75,143.8,101.75,0
72.3,66.7,45.6,87.06,83.44,140.4,77.9,0
65.7,44.06,46.97,87.75,82.9,135.9,52.4,0
69.6,57.62,47.4,89.3,73.3,138.9,56.1,0
75.3,78.7,39.3,93.2,95.75,142.0,79.4,0
88.94,96.8,37.56,84.0,99.4,145.0,114.9,0
92.44,91.8,26.73,50.4,51.25,147.1,143.2,0
102.75,102.06,22.52,51.3,45.6,144.6,142.4,0
95.8,95.1,23.48,50.78,46.9,139.2,139.0,0
88.75,88.25,24.7,58.94,53.75,136.5,136.2,0
80.5,81.06,25.84,50.4,47.38,133.1,134.5,0
100.25,100.9,22.86,43.88,41.84,140.2,139.6,0
103.56,105.6,23.34,44.22,40.1,145.2,143.0,0
95.2,97.3,24.84,42.5,42.78,147.9,143.6,0
105.56,105.56,23.84,49.22,43.2,145.5,143.2,0
90.8,86.6,25.69,62.9,56.9,134.9,136.5,0
70.56,68.4,27.53,70.44,65.1,127.9,130.4,0
78.6,74.6,26.45,68.56,64.56,130.9,132.1,0
82.4,79.3,26.19,64.7,62.3,134.1,133.5,0
79.56,76.6,25.8,63.84,61.94,133.2,135.6,0
98.1,98.25,23.86,50.88,46.62,142.1,141.0,0
101.25,102.94,23.31,47.94,44.34,146.0,143.5,0
107.1,107.7,22.61,46.72,42.3,145.5,143.8,0
103.06,101.8,23.23,54.25,49.2,141.1,140.2,0
101.8,100.1,24.23,54.94,51.06,137.1,137.9,0
94.75,93.2,24.84,58.2,55.62,136.6,136.8,0
107.9,107.0,23.44,56.12,49.47,140.2,139.6,0
103.94,108.25,21.89,42.34,42.22,146.4,142.6,0
73.75,46.0,109.06,107.6,94.44,84.7,136.8,0
70.6,43.88,90.06,100.7,94.0,77.2,130.2,0
59.28,41.53,98.2,98.2,84.75,53.4,130.8,0
55.2,40.06,106.2,95.94,76.2,53.7,130.5,0
67.5,44.44,96.0,96.6,84.5,59.88,130.6,0
75.2,46.75,92.8,98.5,85.56,83.3,135.6,0
69.6,46.97,81.9,95.9,89.9,110.44,139.9,0
79.3,63.0,68.56,82.94,78.0,121.5,139.9,0
94.7,74.6,96.5,82.25,73.7,121.7,138.8,0
88.7,67.6,66.5,80.4,73.94,107.06,132.0,0
78.7,64.94,78.44,81.44,75.75,90.8,128.2,0
83.75,70.06,77.3,76.8,73.9,99.6,129.8,0
81.94,63.7,82.1,89.94,79.3,109.2,137.6,0
82.75,72.56,92.25,92.7,82.56,100.9,138.5,0
82.0,71.7,69.8,89.0,86.5,122.2,140.5,0
81.8,69.2,62.2,98.06,100.0,126.9,141.6,0
91.06,81.1,76.06,85.9,89.56,103.0,137.5,0
97.7,76.3,73.7,94.3,99.6,90.44,123.3,0
86.3,70.44,81.5,92.25,92.7,91.5,126.9,0
83.94,67.75,78.25,92.3,93.8,87.56,122.0,0
