right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
91.6,82.5,8.22,176.9,176.8,135.9,126.56,1
100.56,96.44,7.215,177.1,177.4,158.2,147.4,1
104.1,96.1,7.863,175.2,176.1,178.0,169.9,1
102.7,98.06,7.547,175.5,175.8,175.5,170.9,1
103.6,96.9,8.0,175.1,174.8,175.5,171.1,1
102.44,94.8,8.1,174.5,175.8,177.2,169.5,1
103.9,91.75,7.895,174.9,175.8,177.9,166.8,1
101.5,89.6,7.145,176.0,175.8,174.4,165.2,1
106.2,91.94,8.766,175.4,176.2,167.0,157.9,1
102.75,85.2,7.332,174.9,175.4,158.4,143.8,1
102.5,94.3,8.164,174.8,176.5,174.6,166.0,1
101.94,94.06,7.94,173.9,175.0,173.0,167.1,1
104.6,96.7,8.54,173.8,174.6,171.5,173.2,1
101.06,94.6,12.46,165.4,174.1,170.1,171.9,1
79.6,60.38,86.8,152.5,151.4,150.1,91.44,1
75.7,67.6,80.6,155.5,150.4,153.8,107.0,1
81.1,77.3,86.2,151.9,148.8,166.8,115.9,1
82.1,80.0,83.6,152.2,147.4,163.4,114.4,1
80.6,79.4,86.5,150.4,146.6,161.5,114.3,1
83.0,77.75,84.94,149.5,147.6,163.6,114.0,1
82.06,76.7,88.2,141.1,149.1,166.0,108.4,1
81.25,76.8,91.1,142.1,149.8,166.4,106.06,1
79.9,77.3,88.56,139.1,149.1,167.2,111.1,1
80.6,73.1,92.4,147.2,152.6,162.0,108.6,1
80.9,64.94,89.75,138.5,151.5,156.6,97.2,1
79.75,57.28,86.4,143.4,151.4,154.2,86.6,1
76.56,67.8,93.0,143.6,151.6,162.5,106.0,1
79.56,75.94,90.6,140.8,149.5,171.8,110.4,1
81.06,73.8,90.4,142.8,149.4,171.6,110.75,1
83.7,75.9,89.9,143.4,148.0,170.4,107.94,1
87.06,74.6,88.75,144.9,149.2,167.9,111.3,1
88.56,73.25,85.2,150.9,148.4,165.5,113.44,1
86.1,77.06,84.75,152.9,149.1,166.0,112.3,1
86.6,77.2,84.7,151.2,147.9,163.4,114.44,1
84.94,77.06,83.8,152.1,147.1,160.1,114.7,1
87.44,78.4,84.25,152.8,148.8,161.0,116.1,1
84.9,75.4,83.56,152.4,149.1,161.8,114.8,1
80.6,68.9,82.25,151.1,149.0,158.1,103.5,1
81.94,78.2,83.2,147.4,145.1,161.1,115.2,1
