right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
36.53,12.78,52.47,60.78,73.06,134.9,104.3,1
35.06,10.55,53.38,57.56,66.25,135.2,107.0,1
36.94,11.42,52.62,58.47,68.56,135.6,108.75,1
34.06,14.29,56.5,58.78,67.5,133.4,103.56,1
42.34,12.37,55.53,57.4,68.1,137.0,109.9,1
41.75,13.164,55.0,56.1,74.9,136.2,104.56,1
40.12,11.69,53.88,58.94,75.0,136.1,105.4,1
33.8,13.23,53.6,61.12,70.4,134.5,107.3,1
38.2,13.734,53.5,57.56,72.9,135.1,107.2,1
37.88,12.95,54.66,60.1,68.94,134.9,109.0,1
32.28,16.08,54.7,62.75,74.9,133.6,103.94,1
34.44,15.74,50.62,61.5,77.44,135.1,106.44,1
35.56,13.69,54.7,63.03,75.6,134.5,104.75,1
34.22,14.37,54.4,56.62,72.44,134.5,103.56,1
34.28,14.99,53.4,62.4,74.75,134.6,107.1,1
36.4,14.836,55.28,60.97,70.56,135.4,104.7,1
39.72,14.8,52.56,61.25,77.94,138.8,107.0,1
41.25,12.72,53.53,59.88,71.8,138.8,109.94,1
39.75,14.055,53.9,56.66,64.8,135.5,106.25,1
44.66,12.47,52.75,57.6,68.6,138.4,110.06,1
45.7,15.18,54.1,60.34,68.56,139.6,115.7,1
54.97,29.56,51.56,62.25,76.2,139.5,121.25,1
44.53,16.45,52.6,58.53,77.6,136.9,113.25,1
31.92,14.43,52.1,55.0,69.0,132.1,107.94,1
36.22,14.64,53.97,55.72,70.8,132.5,110.0,1
32.06,12.23,53.22,57.34,67.56,132.8,110.8,1
29.58,12.7,53.44,58.53,69.8,131.8,108.94,1
34.72,32.03,50.3,54.22,67.5,137.9,127.44,1
30.55,24.42,57.03,53.0,64.3,133.8,123.75,1
24.17,19.25,52.75,53.97,63.75,128.4,118.0,1
26.1,19.95,53.84,57.03,64.06,128.8,120.0,1
26.7,19.55,57.0,57.5,65.44,130.8,119.2,1
24.58,18.45,54.12,54.88,61.66,127.7,115.06,1
26.17,19.84,53.56,53.44,64.25,129.6,117.3,1
28.97,21.47,55.84,54.38,69.06,133.2,122.5,1
26.3,21.02,53.38,53.2,64.75,134.5,123.44,1
23.5,19.69,55.62,53.5,62.7,127.25,118.4,1
23.69,19.44,55.66,54.8,70.1,129.8,120.06,1
27.81,22.83,54.78,54.3,69.1,130.6,123.2,1
27.89,23.08,56.97,53.3,68.25,127.94,120.56,1
31.36,26.4,53.5,51.12,66.3,133.4,126.0,1
25.61,21.14,54.66,54.28,70.9,130.6,122.75,1
24.08,20.73,54.38,54.2,67.7,129.6,120.6,1
27.92,23.39,54.9,51.53,64.4,130.9,122.06,1
27.47,23.12,54.16,52.6,69.0,131.2,124.1,1
36.34,31.3,53.6,50.7,61.88,134.2,129.2,1
37.3,31.52,51.94,52.28,68.0,133.9,127.75,1
39.56,33.2,56.25,51.4,63.62,133.1,126.6,1
31.36,28.16,55.16,50.94,65.94,131.5,126.4,1
25.44,20.02,54.25,54.66,67.44,129.2,119.94,1
33.44,28.45,57.06,51.8,64.6,130.8,123.1,1
